Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please give yourself a random nickname:,Which category below includes your age?,What is your gender?,,"What is your current religion or belief, if any?",How many shamanic journeys have you had before?,How often do you meditate?,,Are you going to use headphones for the listening part?,Have you used any mood altering substances including caffeine or alcohol in the last few hours?,,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,Did you receive any clarification on your question?,"How easy was it to focus on the most repetitive, monotone rhythms?",In which part of the soundscape were you the most focused?,Did you have visual imagery?,Please describe your experience in words:
11328215413,251115691,02/06/2020 06:33:53 PM,02/06/2020 07:05:43 PM,,,,,,Big Woman,6,1,,spiritual,3,1,Guided meditations and Jeff Strong's drumming meditations,1,2,,60,10,75,13,2,14,15,2,"Tired, fell asleep through most of it. Probably would like to try this again. I did enjoy the additional sounds and beats that were intwined with the shamanic drum beat."
11327671382,252934861,02/06/2020 03:21:53 PM,02/06/2020 03:53:37 PM,96.7.51.76,,,,,k,4,2,,nono,3,2,,1,2,tea,43,10,68,8,2,50,12,1,"Sitting in a noise library, the headphones are noise cancelling, but some laughter and noise still came through. It did not bother me much. But I would not say it was an undisturbed environment. It was easier to focus on the most monotone parts towards the beginning. The questions was the same as last time, what is moving in the journeys that seems to be out of my control, something alien. This time I didn't manage to create a fluent narrative where this 'alien' could turn up. Most images were flashes and they most of the time did not relate to each other. Sometimes I felt that I am falling asleep, then I had flashes again. But I didn't want to fall asleep so got back into a more alert state. I certainly feel more alert, more relaxed, and a bit more focused as well. Pleasant. "
11327132737,250190426,02/06/2020 12:15:10 PM,02/06/2020 12:16:18 PM,,,,,,Nekodesu,3,1,,"I am a spiritual person and I believe in energy. God, the Universe, you and me are all one and the same.",3,3,"I used to meditate with closed eyes, to the sound of nature. Also did some guided ones and active meditation.",1,2,,36,5,73,12,2,16,12,1,"It was a bit hard to focus because I started to have this urge to cough. After a while it was ok but I wasn't focusing on the most monotone rhythm but rather on a more complex one.  I saw this person I know and remembered a time we shared together although it was not exactly related to my question.  Towards the end, the focus was on the monotone but suddenly it was too loud and it threw me off so I was not focused anymore. At a certain point I felt like dancing.  I thoug  I got some clarity on a subject but not exactly on what I wanted to know. Maybe I wasn't clear on the question. Before I started I was split between two questions, maybe that's the reason.  I think I need time to process and to interpret the journey.  I enjoyed this experience and will do it again."
11325764932,250190426,02/05/2020 09:08:27 PM,02/05/2020 09:39:31 PM,,,,,,screan,3,2,,atheist,1,2,mindfulness via headspace,1,2,,78,10,11,13,2,11,12,2,"I felt like I was forcing questions though my mind to start with and not letting go. there were a few points where I felt unsure of myself, and some points where i wasn't thinking of anything, and sometimes where is was very focused on the drums or thinking about the test in general"
11324921095,250190426,02/05/2020 03:53:13 PM,02/05/2020 04:41:30 PM,,,,,,NAB,2,2,,Agnostic,1,3,,1,2,,58,16,75,16,2,20,13,1,"At first, it took me a while to fully relax, but towards the end I felt a peaceful calm and felt I was floating above sand "
11323843753,250190426,02/05/2020 08:48:31 AM,02/05/2020 09:21:17 AM,,,,,,Gerry Peterson,2,2,,Not bothered,1,3,Bubble popping thoughts,2,2,,70,14,90,8,1,10,10,2,Focused on anxieties and how to overcome them  Planned my day  Planned my food
11322424711,251115691,02/04/2020 07:23:02 PM,02/04/2020 07:50:23 PM,,,,,,Sheila,4,1,,Spiritual but no religion,3,2,Mindfulness or yoga nidra,2,2,,22,6,53,13,1,47,6,2,"My mind felt clearer, my mood lifted and I got a message to dance more often."
11321930363,251115691,02/04/2020 04:44:07 PM,02/04/2020 05:12:44 PM,,,,,,cc london,5,2,,The Universal Oneness,2,1,"Scanning, Counting breaths",1,1,Tea,60,12,40,6,2,64,2,2,"I felt very immersed in the sound. It was enjoyable. Then I think I gradually dozed off, or perhaps began dreaming. I can't recall the dreams but it felt like I had nodded off. At that point the rhythms were a bit annoying, I felt like I wanted to escape them. I became clear again and tried following the rhythm but kept thinking about how long was left and feeling a bit impatient.  On waking I felt tired but in some ways lighter.  Thanks you!"
11321155963,250190426,02/04/2020 11:47:05 AM,02/04/2020 12:36:01 PM,,,,,,Magda,3,1,,Agnostic,5,1,Observing my thoughts and sensations within my body,1,1,Caffe,83,13,81,11,1,27,8,1,"I was walking towards the meadow to house in the mountains to meet my Spirit Guide. Then we went through the white tunnel to the pine forrest. It wasnt very dense so the sun was shining through the trees. I meet my higher self, had a talk, then we come back to the mountain house. On the way back i stood under the crystal clear waterfall. "
11320480573,250190426,02/04/2020 04:33:25 AM,02/04/2020 05:01:02 AM,,,,,,Standing Bear,5,2,,Shamanic practitioner,3,2,,2,2,,50,16,100,7,1,66,7,1,I was taken to the Amazon rain forest I was sitting in a bit with a shaman. He didn't speak until almost the end when he told me I was a shaman and to listen to my inner voice. To focus more and things will become clearer.  
11319258413,250190426,02/03/2020 06:38:54 PM,02/03/2020 06:45:26 PM,,,,,,Peter,3,2,,no religion,1,3,Sensory mindfulness meditation using nature elements,1,2,,28,8,64,7,2,16,13,1,uplifting experience
11318788176,251115691,02/03/2020 03:29:00 PM,02/03/2020 04:15:05 PM,,,,,,Turtleboi,3,2,,Love,4,1,"Open eye meditation, and sound healing techniques",1,2,,88,5,99,13,1,55,16,2,"Incredible experience and sound meditation. Have done 18 Ayahuasca ceremonies almost a decade ago now I was transported back into those ceremonies, I could sense how powerful and profound my experience would have amplified with this... total body visceral experience. Truly divine frequencies. I am an intuitive sound healer, and what's amazing is the ability to deeply ground specifically through drumming, theres really no comparison. This recording done in the style of different levels is very intriguing. Whoever created this you onto something BIG.   I'm willing to connect in any way~  Blessings of Transformation,  ~Rolie O'Donnell"
11318561321,251115691,02/03/2020 12:02:55 PM,02/03/2020 03:07:07 PM,,,,,,Cheryl,5,1,,I believe we are light beings here experiencing  human life ,5,1,Wim hoff breathing and then deep meditation for 15 mins,1,1,Coffee at 11am ,88,16,100,8,2,24,11,1,"Watching my thoughts, experiences in desert conditions and psychedelic  snakes wrapping their bodies around my body. Very stimulating and relaxing at the same time. I loved it thank you"
11318334586,251115691,02/03/2020 01:02:29 PM,02/03/2020 01:54:04 PM,,,,,,Terri ,6,1,,Aim: Learning and practicing Life from an ongoing spiritual perspective. ,1,2,It used to be daily evolving differently for over five years. 1. Audio/Visual of a spinning Mandala on a TV screen. 1. Headphones listening to meditation designed music or that with a guide or guide only. 3. Silence only. ,1,1,Coffee,51,9,76,9,1,25,8,1,"Imagery started at level 6: A colorful sirs sirapi with fringe dancing swaying around.   Imagery about at level 4: A real fine grid like matrix, top to bottom, side to side.   Level 3 & 2:  Drifting off, almost like out of body experience.     No drawing will be forthcoming. "
11317951832,251115691,02/03/2020 09:48:14 AM,02/03/2020 10:15:40 AM,,,,,,Surreal,5,1,,Spiritual ,3,1,"Breathwork, visualization, guided meditation ",1,2,,100,14,73,7,2,24,11,1,It was initially too intense for me.  I listen to more subtle tones in the morning. As it progressed I settled in. My imagery looked like I was witnessing small volcanic eruptions from an overhead view. The color was indigo. 
11317454766,251115691,02/03/2020 02:00:25 AM,02/03/2020 03:25:07 AM,,,,,,Samisamuraij,4,2,,Contemporary Shamanism/ Pagan/Daoism,5,1,A lot of different techniques ,1,1,TEA,81,13,95,16,1,90,11,1,"Visions of a sunset setting in the desert like atmosphere a bit like Grand Canyon. I Tranceformed to a eagle and scored threw the sky’s towards the sun. With a message saying and repeating, follow the path you are on,  The read road and the sun. A lot of shifting colors of the Rainbow after the flight. I do quite a bit of journeying  with my own drum or rattle and sometimes use binaural beats as well. The  irregular patterns definitely deepened the experience. Beautiful journey. Thank you 🙏🏻"
11317283027,251115691,02/03/2020 12:03:12 AM,02/03/2020 12:42:17 AM,,,,,,Esaugetuh,7,2,,Metaphysical Humanism,3,1,,1,1,"Coffee black, no sugar",90,7,85,16,2,15,5,1,I clearly saw an ancient Chinese Warrior in full armament. He was not threatening; nonexpressive. I sensed he was at peace which I thought was strange since he was ready for battle.
11317177043,251115691,02/02/2020 10:18:03 PM,02/02/2020 10:42:23 PM,,,,,,metoo,7,2,,spiritual not religious,3,1,,1,2,,50,16,60,12,1,38,11,2,Very pleasant. Actually enjoyed the rhythm. :-)
11316794148,251115691,02/02/2020 01:03:06 PM,02/02/2020 04:11:09 PM,,,,,,Ines,6,1,, spiritual,3,1,Sound meditation. EFT. Energy healing,2,2,,50,3,73,9,1,27,8,1,"I suffer from a severe eczema which got worse yesterday and to-day and my face is burning badly.   I felt veru bad to-day. I asked what it was about. The first I saw was a white dove. Then I saw myself as a knight with wings tearing of his masker. Then I saw the flame of a dragon. then I saw myself as a blond woman dressed in white (I'm more dark haired) Threatened. I saw a fire and some people dancing around like making wheel figures. Then I lost concentration. I asked myself if it was just whishful imagining... Than I saw or rather felt a big bird. Then I asked if a course I'm busy with now is worthwhile and I saw the man whose teaching it's about, dancing with me around the fire.  Then I wondered if I could be released from this bad skin desease I have for months now. So I don't know if I got some answers ...."
11314927809,250190659,02/01/2020 03:29:07 AM,02/01/2020 03:58:11 AM,,,,,,Abc,2,2,,Spiritual/scientific,1,2,"Vipassana, kriya and mudras ",1,2,,62,12,85,13,1,21,12,2,"Difficult at times, it took a while to settle into a peaceful state while listening. Afterwards I feel more focused and calm. "
11301654363,250190426,01/23/2020 07:33:32 PM,01/27/2020 02:43:58 PM,,,,,,MM,4,2,,Orthodox Christian,1,4,,1,2,,70,5,92,10,1,10,12,2,"I was slightly nervous in the beginning, partly because I wasn't sure I would be able to follow the whole twenty minutes of the ""journey"" without getting distracted by external factors. Despite my initial denial to let myself focus properly on it, the repetitive percussion sounds had a hypnotic effect on me and after the first five minutes, I started getting more relaxed and receptive to the experience. I didn't experience a specific visual imagery rather than images of events that occupy my mind in general or of people from my personal circle and everyday life. I did think of a specific question that I had difficulties explaining or finding the source of the problem, but the relaxing effects of the ""journey"" had a rather positive effect on me, helping me analyse it from a different perspective. Between the third and the fourth quarter of the soundscape (14-15mins) I had become very relaxed, focused and kind of lethargic but not tired. By the end of this listening experience I was feeling very lethargic and I had a rather heavy head but since I still had some chores to do, I chose not to sleep, it took me however quite a while (an hour) until I feel ready to continue with my work. "
11299877247,250190426,01/26/2020 11:04:53 AM,01/26/2020 12:02:50 PM,,,,,,Bobby,4,2,,Catholic,1,4,,1,1,Caffeine,50,16,72,17,2,35,14,2,"I found it somewhat difficult to focus on the rhythm first, but it got easier about half way through. I was seeing memory fragments from my childhood. It felt shorter than 20 minutes. "
11297041053,252934861,01/24/2020 04:06:14 PM,01/24/2020 04:41:46 PM,23.46.211.84,,,,,k,4,2,,non,3,2,,2,2,,30,6,90,13,2,70,15,1,"I listened to the current remix in Reaper. This of course did not help to let go the analytical thinking. I was sometimes thinking about volume levels in the mix. But in general it was a pleasant trip, that was not deep. The visual narrative was rarely continues for longer than a few seconds. At the beginning it was always me who initialised the images. I thought it might help to get back to where the most powerful journeys have ended, so I summed them up. I only started considering the questions when the music has already started. And I changed my mind a few times because I realised I know the answers to most of the questions I am asking. I know the next stop in for instance becoming healthier, in the doctoral study, ... so I thought I am going to ask for clarification on whether external beings to my 'consciousness' can enter the journey or not. I only felt towards very end that there were images, shapes, two beings that I didn't 'create' - one was dark with two red or blue eyes. First I thought this might be something 'bad', but it didn't feel bad. Then at the very very end I saw someone in front of me holding something like a ball full of light - like an energy ball, perhaps a bit like a blue planet, the Earth. The face of this person was covered by the ball, most of the times. But this person sometimes checked my face, so I saw it's face - it was Wando, and he was smiling at he - saying something like, I am here and I like you. This somehow felt very emotional and strong and definitely not initialised by me on purpose. When I wrote the last two sentences it made me feel like crying, but happy. "
11296201939,250190426,01/24/2020 09:07:50 AM,01/24/2020 10:11:11 AM,,,,,,Nekodesu,3,1,,"I am a spiritual person and I believe in energy. God, the Universe, you and me are all one and the same.",2,3,"I used to meditate with closed eyes, to the sound of nature. Also did some guided ones and active meditation.",1,2,,50,10,62,9,1,64,6,1,"It was a bit hard to focus because I started to have this urge to cough. After a while it was ok but I wasn't focusing on the most monotone rhythm but rather on a more complex one.  I saw this person I know and remembered a time we shared together although it was not exactly related to my question.  Towards the end, the focus was on the monotone but suddenly it was too loud and it threw me off so I was not focused anymore. At a certain point I felt like dancing.  I thought about some friends I should visit.  I got some clarity on a subject but not exactly on what I wanted to know. Maybe I wasn't clear on the question. Before I started I was split between two questions, maybe that's the reason.  I think I need time to process and to interpret the journey.  I enjoyed this experience and will do it again."
11293834130,250190659,01/23/2020 12:39:34 PM,01/23/2020 12:39:46 PM,,,,,,sisi ,4,1,,no,3,2,"very Basic, counting numbers,",1,2,,26,13,60,14,2,26,4,1,"At the beginning of the sound experience i was feeling unsettled and nervous, the music was a bit scary and very intense, but gradually i began to feel grounded and Secure. the music gave me visions of Sea, Bird, Woodland, and a Seaside cave that my shaman friend in Wales once showed to me, it was blocked by giant stones and nobody knows what is inside. But I saw it this time in my visions. It was a cave full of shining rubies and on a Golden chair a baby was sitting. he ran out and rushed to the Sea, caused a huge wave, a giant blue whale came out and Waves throwing thousands of red medusa in the air. at the beginning of the Journey I saw bird flying, then pierced by an Arrow, but it continued flying and leaves the Sky a long splendid Rainbow. "
11293833467,250190659,01/23/2020 10:43:17 AM,01/23/2020 12:39:26 PM,,,,,,sisi ,4,1,,no,3,2,"very Basic, counting numbers,",1,2,,26,13,60,14,2,26,4,1,"At the beginning of the sound experience i was feeling unsettled and nervous, the music was a bit scary and very intense, but gradually i began to feel grounded and Secure. the music gave me visions of Sea, Bird, Woodland, and a Seaside cave that my shaman friend in Wales once showed to me, it was blocked by giant stones and nobody knows what is inside. But I saw it this time in my visions. It was a cave full of shining rubies and on a Golden chair a baby was sitting. he ran out and rushed to the Sea, caused a huge wave, a giant blue whale came out and Waves throwing thousands of red medusa in the air. at the beginning of the Journey I saw bird flying, then pierced by an Arrow, but it continued flying and leaves the Sky a long splendid Rainbow. "
11291453627,252934861,01/22/2020 03:04:14 PM,01/22/2020 03:31:23 PM,23.212.3.157,,,,,k,4,2,,not sure,3,2,,1,2,,50,16,40,11,2,85,9,1,"I found it difficult to focus on the most monotone parts of the drumming (the digital shaman), I often found myself listening to the real drummer, the one who plays a real instrument. It's more exciting and perhaps I wanted to be excited. I had some images in my head, they were often movie like, not animation or, but somehow real life like. There were people in familiar rooms. The vision that stayed with me for most of the time was a purple patch in a dark background. It after a while looked like someone's hair in a very saturated image. "
11288160189,250190426,01/21/2020 12:00:45 PM,01/21/2020 12:41:17 PM,,,,,,Coffin Carpet Cleaner,2,2,,Existential nihilist,5,2,"Continuing the flow of the mind but in a deeper exploration, finding personalised reason for and from thoughts  ",1,1,cannabis,48,10,85,13,1,30,6,1,"Constant and driving, although thoughts came, they were revealed not different, but almost from a different perspective creating a shorter journey to connect to those thoughts."
11288074933,250190659,01/21/2020 10:56:03 AM,01/21/2020 11:53:21 AM,,,,,,Kalli,3,2,,none,1,3,breathing mindfulness,2,2,,40,6,70,13,2,60,12,2,I found it difficult to relax and focus completely but that may be due to time and place. Overall the experience was calming and immersive and my focus improved. I did not have any visions as I was busy trying to relax.
11282114019,250190426,01/17/2020 07:25:40 PM,01/17/2020 07:48:25 PM,,,,,,Graeme,3,2,,transponders,3,1,,1,2,,72,16,83,10,1,98,14,2,"Awesome, Shamanic Journey.  check out what I'm up to on www.vimeo.com/friendshipcube"
11278524967,250190426,01/16/2020 12:39:17 PM,01/16/2020 12:59:41 PM,,,,,,smokesine,2,2,,"Agnostic, belief in a higher power but not a traditional deity.",1,2,"Normally before bed, with white noise or rainfall (soothing ambient samples). I practice breathing techniques to slow heart rate, mostly to help me sleep.",2,2,,71,13,90,16,1,12,12,2,"I carry a lot of stress and anxiety with me most days, it's normally quite passive unless I focus on the issues making me stressed. I found the lower frequencies of the performance quite 'grounding' - if I were to use a metaphor, with my eyes shut, normal meditation requires me to find a way to 'navigate' my state of mind. With what I call a 'ground', it's normally something familiar or static that I can use as a guide-rope to follow through my meditation or experience. It can pull you forwards, or you can follow it passively.    With the lower frequencies of the drums, I find that richer, fuller frequencies on the lower end of the spectrum are what resonate with me best - particularly towards the last third of the performance, I could feel the speed of the drums directly pulling me faster through my trance. Oddly enough, normally when I meditate I try to slow things down to calm myself, but the frantic drumming sped things up, and still helped to calm me down, which before listening I would presume would only make my thoughts race faster."
11273340628,250190426,01/14/2020 03:50:06 PM,01/14/2020 03:52:41 PM,,,,,,Dan,3,2,,Na,1,4,,2,1,,53,17,50,16,2,17,13,2,Fell asleep 
11268842103,252404106,01/12/2020 04:50:28 AM,01/12/2020 05:47:59 AM,,,,,,Jabin,3,2,,Islam,1,1,I prefer guided meditation for astral projection,1,2,,61,10,65,13,2,70,13,2,"firstly I am not used to with shamanic meditation, so it is quite difficult for me to adjust myself with the music, after sometimes when it is okay then  I feel relaxed. But the answer which i seeked was unanswered. "
11252173995,250190426,01/02/2020 08:13:51 PM,01/02/2020 08:20:46 PM,,,,,,Babushka,6,1,,Juramidam,3,2,Breathing techniques and trying to focus on one thing,1,2,,71,16,100,16,1,18,10,1,I had s question about whether I should go on a trip which would have had consequences in my workplace. At first some very scattered and confused thoughts then saw the eagle which is a thing with me at the moment and got a very clear response  in The form of a traffic sign.much more clear and definite at the end
11251956298,250190659,01/02/2020 05:41:32 PM,01/02/2020 06:06:08 PM,,,,,,Fred,6,2,,Agnostic,1,4,,1,1,Cup of Tea,47,10,67,16,1,43,13,2,"I chose a difficult question which I am stuck on, and was not expecting any straightforward answer. For most of the time I just listened to the beat and had no thoughts about my question at all, it did not even enter my head. I had no visual imagery, just a blank state of mind, occasionally interrupted by random thoughts. Occasionally I felt impatient for it to end. The at about level 3 I started thinking about my question, not intentionally, I just found that I was focussing on it. And then right at level 2 or so I had some clarity as to what I should do next to try and answer my question - so not an answer in itself, but a bit of insight. I felt quite calm when it finished."
11250886755,250190426,01/01/2020 07:34:51 PM,01/01/2020 08:23:28 PM,,,,,,Nika,5,1,,None,2,1,Vipassana,1,2,,71,9,80,13,1,60,6,2,"Relaxing, powerful, hypnotic "
11249931274,250190426,12/31/2019 01:49:06 PM,12/31/2019 03:39:50 PM,,,,,,Jam,3,2,,Christian,1,3,,1,2,,51,6,71,10,2,50,13,2,"I think I was initially stressed beforehand so struggled to get into the experience til the end.  My mind does feel clearer, but I didn't feel calm, but more like I wanted to do more physical movements and be out doors. I do feel slightly less stressed however, but worried that the 20 minutes was keeping me away from being productive in other areas"
11246317345,250190659,12/27/2019 11:51:11 PM,12/28/2019 12:25:33 AM,,,,,,Random_nickname,4,1,,Oneness,3,1,"I practice living meditation, where the goal is to connect to the true nature under different circumstances, eg talking, walking, reflecting",1,2,,96,16,54,10,2,19,13,1,"The imagery was mainly of tribal dancing. Figures of people dancing to the beat.     Overall it was a positive experience. The first part felt uncomfortable, a bit dark. As it went on the drumming began to feel more positive and comforting to me. "
11240972649,250190659,12/23/2019 08:05:43 PM,12/23/2019 08:38:12 PM,,,,,,Mia,2,1,,N/A,1,1,breathing meditation,2,2,,16,4,43,6,2,21,12,2,"It feels very heavy now, after the experience, but also very grounding. During the experience I could fully focus on the specific (mostly bass) rhythms but also found myself slipping away to my everyday thoughts. It was easy to follow the narrator's voice and bring myself back to the experience. Levels 3-2-1 felt almost vibrational and on the level 0 I felt a huge relief and could really sense my breathing and my body expanding.    I didn't receive the answer to my question because I forgot about it during this experience.     "
11238198807,250190426,12/20/2019 04:39:29 PM,12/21/2019 03:24:51 PM,,,,,,fennee,2,2,,Still figuring this out. I want to expand past the limitations of belief and seek truth,3,1,"To allow thoughts to occur and to sink into the current and to see what's driving the though, the emotion, the experience",1,2,,87,12,94,16,1,0,13,2,I normally listen to non pulse ambient music when I meditate to music. I found this to be very hypnotising in the sense that my whole body was flowing in time with the pulse. My whole body feels very relaxed. I'm finding it a bit jarring typing and thinking. I feel like I've sunk beneath the strong current and that everything around me is so peaceful. It is what it is.    Thank you for this experience. x    --Harry
11214186680,250190426,12/11/2019 03:09:17 PM,12/11/2019 03:41:58 PM,,,,,,Fabs,3,1,,Christian/Pagan,1,3,,1,2,,65,13,80,16,2,14,12,1,"I was calm and relaxed throughout the experience, but I felt my body relax more noticeably around level 5 or 4. I felt that my body had become very heavy and my visual, inner self had become lighter and more vivid. "
11210985487,250190426,12/10/2019 04:10:28 PM,12/10/2019 04:44:32 PM,,,,,,beelzebubble,3,2,,Buddhist/K ,3,3,,2,1,,40,6,99,8,1,78,11,1,"Moved me from jittery to focused/attentive to calm. I found the drumming similar in a way to Peyote Drumming. Initially kept trying to over analyse, is this drum synthetic/made made, played or programmed, what kind of delay etc. Really wasn't focusing on the content to begin with, but focused on the aural architecture, it was only later in the levels I started to go beyond a superficial set of thought patterns, and go with the music, mind calmed, but became more attentive, more present. I wondered about the question, and got an answer almost immediately, may mean it wasn't a complex/deep question, or I already knew the answer to it.     Fun, would buy the album, wouldn't mind a drop or two though.  "
11210250153,250190426,12/10/2019 01:22:53 PM,12/10/2019 01:45:32 PM,,,,,,Shamanic enthusiast ,4,1,,"Agnostic, general spiritual believes but no religion",1,2,,2,2,,30,6,56,13,1,0,11,2,Very enjoyable - and much easier to focus then when I do traditional meditation. Very easy to let go of words and get into a different brain state.
11210102294,250190659,12/10/2019 01:02:53 PM,12/10/2019 01:10:56 PM,,,,,,Mjc,4,2,,MA,1,1,Binaural beats for a round 10 mins a time  ,1,1,Caffeine ,32,5,51,10,1,27,12,2,"I remembered times gone in a vivid and emotional way      Saw colours, mainly purple but some blues and greens as well.     I missed the part about asking a question - sorry. So I just enjoyed the experience.     I lost awareness of the descending numbers around level six and was consciously aware again just before the end "
