Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please give yourself a random nickname:,Which category below includes your age?,What is your gender?,,"What is your current religion or belief, if any?",How often do you meditate?,,Have you used any mood altering substances including caffeine or alcohol in the last few hours?,,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,I understand that for the listening part,,,,How focused do you feel now?,Choose a number from the circle below to indicate how you feel:,In which part of the soundscape were you the most focused?,"Did you notice that one of the levels was missing? If yes, which one? ",Did you have visual imagery?,Please describe your experience in words:,How many shamanic journeys have you had before?,Please add your email address if you'd like to be updated on the outcomes of this survey (optional):
11725208580,262668959,06/24/2020 07:15:42 AM,06/24/2020 08:30:18 AM,,,,,,lamayuru,5,2,,close to buddhism and non-duality,1,I am just open to everything like mindfulness,2,,70,17,1,2,3,4,90,7,5,1,1,"At first, I was planing in the space for a long time, then I arrived on a planet, which looks like the moon.   There were some beings, I walked with them and went down to a big cave, where there was a lake, I swimmed in the lake with strange fishes.  Then I suddenly arrived in a place very green with a lot of grass, I could see also mountains, I was meditating there, humans arrived and meditate with me. After a while we all danced around a fire. It was symbolizing the union of appearance and vacuity. Then I traveled newly through the space to arrive in my room.  For the final minutes, I was just listening without new visualisation.    For the question I choose, I have had an answer, not precise, but a direction which I will perhaps follow.",3,
11724836655,262668959,06/24/2020 03:29:32 AM,06/24/2020 04:00:40 AM,,,,,,Suz,7,1,,spiritualist,1,"variuos - stillness, sitting in the power, journying, emptyness",2,,54,10,1,2,3,4,77,16,9,1,1,began very jumbled / bubbly feeling then after a time moved quiet deep started to lighten when rythem changed to steady heavy beet surrounded in healing blue colour then kept coming back lighter to the end. Definately feel better than when commenced  more in balance and centred energy  ,5,
11724132444,262668959,06/23/2020 10:29:08 PM,06/23/2020 10:34:50 PM,,,,,,Sunni,5,1,,None,1,Vipassana,2,,49,13,1,2,3,4,,,,,,,,
11715453674,261372608,06/20/2020 01:14:49 PM,06/20/2020 02:49:57 PM,,,,,,A,3,1,,None,3,"Drifting away in noises, in a crowd...",1,one sip of my husband's coffee,25,3,1,2,3,4,40,10,12,1,1,"Until level 9: Dark jungle: a noisy party at night, dangerous, black snake, another party full of green and red lights across a lake  Level 8-6: falling in the lake but still moving towards the party across, emotional, struggling, flying out finally  Falling asleep after level 6  Level 1: waking up in a cave, bright day light around from a big opening above, dessert? beach? ",1,
11712342426,261612847,06/19/2020 10:26:29 AM,06/19/2020 10:59:04 AM,,,,,,Al,2,2,,"I believe in the nature of the mind, very close to the Buddhist philosophy of life",1,"The first technique is called Vipasana in which I sit with my eyes closed observing the rise and fall of the belly, in that meditation nothing is a distraction, no thought or feeling or emotion, the second one is called Zazen in which I sit in front of a blank wall staring it with my eyes half open for 30 minutes",2,,100,14,1,2,3,4,100,9,0,16,2,"I usually medidate in silence without music but if I was to use music I would prefer a sound that doesn’t have a beat into it, a more ambient soundscape. I kind of struggled to meditate with the rhytmic beat on and I felt it more as listening to music instead of meditating.",2,
11712305284,261372608,06/19/2020 10:03:57 AM,06/19/2020 10:25:45 AM,,,,,,Al,2,2,,"I believe in the nature of the mind, very close to Buddhist philosophy ",1,"I do 2 different techniques, the first one is called Vipasana Meditation in which I sit in a relaxed position with eyes closed and observe the rise and the fall of the belly, in that particular meditation nothing is a distraction, any thought, feeling, emotion etc is welcome, by the time I catch myself not observing the belly I get back into that observation and it goes on and on like that for an hour. The second one is called Zazen and it is zen meditation in which I sit in front of a blank wall staring with the eyes half closed and keeping the body movement to a bare minimum. It is amazing to notice how many hallucinations and thoughts the mind projects in order to prevent one from just doing nothing for 30 minutes.",2,,100,14,1,2,3,4,,,,,,,,
11697635630,261372608,06/15/2020 10:46:47 AM,06/15/2020 11:25:24 AM,,,,,,Sunshine,5,1,,Christian - church of England,4,,2,,50,10,1,2,3,4,80,16,10,1,1,"Heavy sinking body   Light head  Light even though my eyes are closed  Eyes feel like they have more space in my head  Not really imagery but light, and sometimes with a tunnel effect - none of the normal red black of my inner corporeal experience with my eyes shut   Breathing slowing and shallow  Almost forget to breathe  Aware that breathing is originating from the muscles in my stomach  Wonder what it would be like to just stop breathing  ",1,
11697543419,261372608,06/15/2020 09:56:26 AM,06/15/2020 10:39:55 AM,,,,,,mura1,4,1,,no religion,3,,2,,94,17,1,2,3,4,95,11,11,1,1,I really liked the sound. I was worried about it finishing. I wanted that to last longer. At times I imagined I was moving/dancing to the rhytm. At one point I saw a purple spot dissapering like water in the drain. it kept reapperaing. The colour change to orange eventually. My mind kept drifting to some moments from past. I feel a bit sad actualy - not sure if because the sound has finished or because of the memories that came back to my mind. At one point I couldn't work out the position of my hands. They were folded on top of my stomach but I kept thinking about how and couldn't quite feel their position. I am eager to try this again.,1,
11695247769,261372608,06/14/2020 12:32:13 AM,06/14/2020 12:52:18 AM,,,,,,Random nickname,2,2,,Christian ,4,,2,,51,16,1,2,3,4,,,,,,,,
11691833362,261372608,06/12/2020 03:44:24 PM,06/12/2020 04:24:56 PM,,,,,,Hare,1,2,,Atheist,2,Close my eyes and focus on my breathing,2,,37,6,1,2,3,4,50,7,16,3,2,"I found it really hard to stay still, the sounds made me want to move. I shook like I was shivering and I was distracted trying to find regular patterns in the levels i.e. did the volume/time between increase/decrease. Also it said to make sure my tongue was relaxed and that just made me realise wherever it was in my mouth felt wrong",1,
11691420559,261612847,06/12/2020 01:43:18 PM,06/13/2020 12:35:41 AM,,,,,,Speigeleintroptic,4,1,,N/A,1,"Focus on breath and allow thoughts to unfold like a film credit, with no investment. When I get lost in thought, I come back to breath. Rinse and repeat. I sit nightly for 20mins before bed.",2,,87,13,1,2,3,4,98,6,7,12,2,The main sensation was of my body being weighted down. By 15 my chest had sunk down. Electrical pulses rushing up my body from 8 down. Had to work to stay with it as so intense. Felt myself drifting into thought as often happens in meditation. Soundscape was a good anchor when this happened. 2 - 0 came from nowhere. Feels like I 'left' / ejected before a message was revealed. ,3,
11690873789,261372608,06/12/2020 09:28:54 AM,06/12/2020 10:30:40 AM,,,,,,Hobbes,5,1,,Lapsed Christian,2,Mindfulness meditations,2,,68,6,1,2,3,4,64,13,9,1,2,Relaxing experience. Felt mildly happy about halfway through. Mildly irritated and impatient at about Level 4 and 3. Better by end of recording,1,
11686344103,261612847,06/11/2020 02:17:46 AM,06/11/2020 02:50:55 AM,,,,,,NF1,5,2,,Hindu,2,mantra meditation,2,,71,8,1,2,3,4,40,10,9,16,2,The drums were novel and mostly pleasant to listen to. Some interesting patterns played through the various levels. Toward the very end though they became monotonous and not as appealing.,1,
11685273541,261372608,06/10/2020 07:55:08 PM,06/10/2020 07:58:19 PM,,,,,,ted,4,2,,not,2,,1,tea,29,6,1,2,3,4,36,2,6,1,1,jo,3,
11685201675,261372608,06/10/2020 07:32:30 PM,06/10/2020 07:37:32 PM,,,,,,hb,4,2,,no,3,,1,,39,10,1,2,3,4,,,,,,,,
11684773461,261372608,06/10/2020 05:37:04 PM,06/12/2020 04:22:44 PM,,,,,,Eagle,5,1,,none,3,,2,,55,6,1,2,3,4,,,,,,,,
11683005707,261612847,06/10/2020 07:23:08 AM,06/10/2020 07:25:07 AM,,,,,,Azureblue,6,1,,Buddhist,3,Breath,2,,14,6,1,2,3,4,,,,,,,,
11681056832,261612847,06/09/2020 06:28:13 PM,06/09/2020 06:30:56 PM,,,,,,Jools,7,1,,Nothing specific,2,Mindful breathing,2,,60,16,1,2,3,4,,,,,,,,
11680634752,261372608,06/09/2020 04:34:59 PM,06/09/2020 04:40:23 PM,,,,,,Princess,7,1,,Christiam,2,,2,,50,10,1,2,3,4,,,,,,,,
11679730895,261612847,06/09/2020 12:12:11 PM,06/09/2020 12:51:04 PM,,,,,,Mango,3,1,,None,1,"Focus on breathing And RAIN, visualisation, somatic",2,,61,12,1,2,3,4,39,14,11,1,2,At the beginning was focused on the sound of the drumming then as the sounds continued I felt a lot of bodily sensations and different thoughts/memories came up from when I have been meditating over the past few days. Overall it felt like a different experience from other types I have tried before - I am feeling very interested to try listening to something similar again perhaps for a longer period. ,1,
11679586235,261372608,06/09/2020 11:09:42 AM,06/09/2020 11:37:35 AM,,,,,,Seal,2,1,,Atheist,2,Guided meditation before sleep,1,Coffee 2hrs ago,72,13,1,2,3,4,67,8,9,3,1,"Hard to focus on the sounds at the beginning, thinking lots about the question I set, then got more engaged with the sounds, imagery of many things, rainforests, water, psychedelic patterns, stress, animals being chased, processions, my own experiences. About halfway the deep sounds resonated through my body and around level 7 my hands and hips/ legs felt like they were floating. Harder to focus again nearer the end. Relief and peace at the silence of level 0.",3,
11678018045,261612847,06/08/2020 10:08:50 PM,06/08/2020 10:30:58 PM,,,,,,Barry,6,2,,None,4,,2,,65,3,1,2,3,4,,,,,,,,
11678006844,261372608,06/08/2020 10:02:48 PM,06/08/2020 10:08:21 PM,,,,,,Barry,6,2,,None,4,,2,,65,3,1,2,3,4,,,,,,,,
11676761094,261372608,06/08/2020 03:39:07 PM,06/08/2020 03:47:10 PM,,,,,,nmp,3,2,,christian,4,,2,,51,9,1,2,3,4,,,,,,,,
11675996444,261612847,06/08/2020 11:48:42 AM,06/08/2020 11:54:22 AM,,,,,,Howard,7,2,,Buddhist. Following the tradition of Thich Nhat Hanh ,1,Vipassina - following the breath,2,,69,16,1,2,3,4,,,,,,,,
11675447969,261372608,06/08/2020 07:37:43 AM,06/08/2020 09:00:24 AM,,,,,,Wendysh,6,1,,None ,2,Following a guide such as Headspace,2,,67,13,1,2,3,4,75,9,11,1,1,My experience was colours and vague skyscapes with misty skies. When I felt most trance like (if that's what it was) I was seeing a deep purple colour. I wanted to let go into it but got distracted away from it with brief images from real life. When the sound scape included electronic type sounds I got images in my mind of paintings by Christophe Souques. These works include repeated small images on black and gold backgrounds. I sometimes look at these and think of old fashioned wireless sets with their electric wiring and soldering inside. I got a bit of this feeling from the sound scape. I was aroused / stimulated by the deep booming drum sounds. I want to explore this soundtrack more as I find it it very grounding compared with the sleep app soundtracks on the market which are too dynamic and musically articulated to be restful and mindful. Thank you. ,1,
11674645239,261372608,06/07/2020 10:23:55 PM,06/07/2020 10:54:44 PM,,,,,,Bartman,4,2,,Buddhist Christian Muslim Yogi Mystic,1,Vipassana ,2,,50,6,1,2,3,4,86,8,14,1,1,"There wasn’t much at first and I was rather distracted at first but as the levels moved on I found I became more and more focused and clear headed. I had just a free visuals. One was for the briefest moment but interesting. It was something like two sea horses facing each other except the faces were more human. I had this feeling as if they were from different worlds yet meeting at that moment and the lack of differences between us was beautiful. Other than that, I had some energy visuals like a purple flaming ball. ",1,
11674621873,261612847,06/07/2020 10:11:16 PM,06/07/2020 10:14:38 PM,,,,,,Bartman,4,2,,"A Buddhist, Christian, Muslim Yogi",1,Vipassana ,2,,55,6,1,2,3,4,,,,,,,,
11674621418,261372608,06/07/2020 10:10:45 PM,06/08/2020 03:03:21 PM,,,,,,Happy Cook,7,1,,none,2,"Yoga, TM, Mindfulness",1,Tea,82,17,1,2,3,4,65,3,12,1,2,"My experience was very weird. I have tried different forms of meditatiton, over many years, but this was completely different. My head wobbled, which is fairly usual for me during medititation, but again this was different. My head movements just felt as though they were happening to me, and completely outside my control. Sometimes it was a small side to side movement, sometimes forward and back,  sometimes my head went in small circles one way, and then the other, and sometimes in quite large circles (towards the end). Although I felt physically very relaxed, and my hands pleasantly numb, I experienced moments of nausea. Now I feel quite heavy and a bit nauseous. I wasn't aware of my breathing slowing down, although it might have. Usually, in meditation, I am aware of my breathing slowing considerably. I felt inhabitated by the voice of the drum. That wasn't unpleasant, and I could feel it in my sternum. I was vaguely aware of you counting the levels, but didn't listen out for them.    Yesterday, I meditated to the sound of your video on youtube which was recorded at the Cambridge festival of ideas in 2019. I didn't experience nearly as intense sensations to that soundtrack: no nausea, found it pleasant, and slept like a log afterwards.    All the best with your thesis.",2,
11674073262,261372608,06/07/2020 04:52:40 PM,06/07/2020 05:35:47 PM,,,,,,Picker,4,2,,None,2,Mindfulness,2,,25,13,1,2,3,4,85,6,4,1,2,"At the very beginning, I was attracted to the music, mainly  because it's new to me. I tried to focus on my breathing but  the music was quite distracting. I then fell asleep a few  times in the middle part. Towards the end, I was feeling a   little bit uncomfortable due to my seating posture, so my   focus shifted. Overall, the experience was similar to a   mindfulness meditation. I reminded myself about my   question twice during whole process.     Sorry, did not watch the introduction video.  Say Hi to Antonia and Lucas!",1,
11673684870,261612847,06/07/2020 10:47:58 AM,06/07/2020 11:32:40 AM,,,,,,Kezai ,6,1,,Buddhist ,1,Breath focus. I also chant. I do inner dance sound meditation regularly ,1,Coffee ,74,13,1,2,3,4,81,13,9,16,2,Physically very relaxing but mind chatter was persistent. Found the levels count down distracting. The simple beat from level four on was irritating. I would say I respond better to music with drums rather than just drums. I’d add a drone to the rhythm. I asked a work related question and think I have an answer that suits me. ,5,
11673670852,261612847,06/07/2020 10:47:58 AM,06/07/2020 10:50:23 AM,,,,,,Kezai,6,1,,Buddhist ,2,Breath practice. I do inner dance regularly which is a sound meditation. ,1,Coffee 2 cups in last four hours ,79,13,1,2,3,4,,,,,,,,
11672432581,261612847,06/06/2020 02:27:44 PM,06/06/2020 02:29:51 PM,,,,,,Tynee,5,2,,None,1,"Twice per day, lieing down, sometimes guided, sometimes not. ",2,,90,16,1,2,3,4,,,,,,,,
11672422599,261372608,06/06/2020 02:20:35 PM,06/06/2020 03:02:16 PM,,,,,,Tynee,5,2,,Spiritual,1,I do both guided and non guided. I tend to do it lieing down in a comfy place and been doing it twice a day for 3 months. ,2,,91,16,1,2,3,4,90,11,12,1,1,"It took a while to settle, then i started to see imagery at level 10 onwards:    A winged animal that turned it a hummingbird with a long beak.    Then an ice breaker ship making it's way through the ice.    Then it felt like  was drifting through a void of purple.    Towards then end I saw figures with their arms stretched out...almost in a crucifixion pose,but they were dancing.     Happy to be contacted ",1,
11672140352,261372608,06/06/2020 10:46:31 AM,06/06/2020 10:49:17 AM,,,,,,Lala,3,1,,Christian ,2,,2,,79,6,1,2,3,4,70,10,3,5,2,I focused a lot at the start and then my mind wondered off to my to do list,1,
